Siruta,Localitate,Activitate
169994,Galicea,Alimentara
137229,Calinesti-Oas,Alimentara
14352,Beleti-Negresti,ChimicaFarmaceutica
71698,Cerat,Alimentara
153623,Plopii-Slavitesti,Lemnului
88092,Baita,Mobila
120860,Municipiul Roman,Metalurgica
104485,Ogrezeni,Mobila
63526,Oras Covasna,Lemnului
161829,Municipiul Husi,Textila
22576,Filipesti,ChimicaFarmaceutica
30773,Rieni,Alimentara
47159,Largu,Textila
137274,Camarzana,Alimentara
120888,Cordun,Alimentara
55357,Municipiul Campia Turzii,Metalurgica
145471,Sadu,Lemnului
63553,Comandau,Lemnului
161856,Oras Negresti,Mobila
14405,Berevoesti,ConstructiiMasini
38982,Suharau,Alimentara
104519,Oinacu,Lemnului
129095,Stoenesti,Lemnului
6217,Pianu,Textila
47186,Lopatari,Lemnului
129111,Stoicanesti,Alimentara
55384,Municipiul Gherla,Mobila
145499,Oras Saliste,Textila
120922,Horia,Mobila
63580,Oras Intorsura Buzaului,Lemnului
153696,Poeni,Alimentara
104546,Peris,Alimentara
178279,Urechesti,Textila
96370,Comarna,Lemnului
30844,Rosia,Alimentara
104582,Petrachioaia,Alimentara
120968,Oras Bicaz,ChimicaFarmaceutica
39051,Sulita,Alimentara
178313,Valea Sarii,Lemnului
63633,Barcani,Alimentara
55446,Oras Huedin,Alimentara
30871,Sacadat,Mobila
161945,Municipiul Vaslui,Alimentara
96423,Costuleni,Lemnului
80043,Danciulesti,Lemnului
55473,Aghiresu,Textila
153776,Vitanesti,Textila
104635,Plataresti,Lemnului
170168,Glavile,Lemnului
137407,Certeze,Lemnului
22718,Ghimes-Faget,Lemnului
30915,Oras Sacueni,Textila
47300,Luciu,Energetica
88261,Beriu,Lemnului
63688,Sita Buzaului,Lemnului
178377,Vidra,Lemnului
71885,Cosoveni,Alimentara
162014,Albesti,Alimentara
121055,Oras Targu Neamt,Lemnului
96478,Cotnari,Alimentara
129246,Serbanesti,Textila
137443,Craidorolt,Mobila
71910,Cotofenii Din Dos,Alimentara
153829,Putineiu,Alimentara
104680,Prundu,Textila
170220,Golesti,Lemnului
63740,Municipiul Targu Secuiesc,Textila
22781,Garleni,Alimentara
39168,Oras Stefanesti,Alimentara
145667,Seica Mare,Alimentara
129282,Stefan Cel Mare,Lemnului
104715,Putineiu,Energetica
30988,Salacea,Textila
47373,Maracineni,Alimentara
71956,Daneti,Textila
121108,Agapia,Mobila
162069,Alexandru Vlahuta,Alimentara
63777,Aita Mare,Lemnului
137504,Crucisor,Alimentara
31011,Salard,Alimentara
129317,Tatulesti,Alimentara
178475,Vintileasca,Lemnului
104751,Radovanu,Textila
22834,Glavanesti,Alimentara
63802,Batani,Lemnului
6468,Posaga,Alimentara
72007,Oras Dabuleni,Alimentara
137540,Culciu,Alimentara
145738,Seica Mica,Lemnului
96593,Cozmesti,Alimentara
14673,Boteni,Lemnului
31057,Sambata,Lemnului
153936,Salcia,Textila
104788,Rasuceni,Alimentara
47453,Merei,Textila
39266,Todireni,Alimentara
112995,Ponoarele,Textila
72034,Desa,Alimentara
145765,Sura Mare,Energetica
162149,Arsura,Alimentara
22898,Helegiu,Alimentara
178545,Vizantea-Livezi,Alimentara
80249,Dragotesti,Lemnului
104831,Roata De Jos,Alimentara
88449,Bosorod,Alimentara
145792,Sura Mica,Alimentara
55687,Apahida,Lemnului
137611,Doba,Metalurgica
162194,Banca,Mobila
6547,Radesti,Lemnului
63893,Bodoc,Alimentara
31128,Sarbi,Alimentara
121242,Baltatesti,Alimentara
80285,Farcasesti,ConstructiiMasini
154013,Scrioastea,Textila
39328,Trusesti,Alimentara
14753,Bradulet,Alimentara
145827,Oras Talmaciu,ConstructiiMasini
72098,Dobresti,Alimentara
178607,Vanatori,Lemnului
129460,Tia Mare,Alimentara
104886,Sarulesti,Alimentara
6592,Rametea,Alimentara
63937,Borosneu Mare,Alimentara
137675,Dorolt,Lemnului
121297,Bicaz-Chei,Lemnului
72150,Dragotesti,Textila
47578,Mihailesti,Alimentara
55776,Aschileu,Alimentara
6627,Ramet,Alimentara
31208,Spinus,Energetica
80365,Glogova,Lemnului
121340,Bicazu Ardelean,Lemnului
137728,Foieni,Mobila
14851,Budeasa,ChimicaFarmaceutica
178689,Vartescoiu,Alimentara
64005,Brates,Mobila
23047,Huruiesti,Textila
145934,Turnu Rosu,Alimentara
137746,Gherta Mica,Alimentara
170514,Ionesti,Mobila
162327,Bacani,Alimentara
72221,Dranic,Alimentara
31262,Suplacu De Barcau,Alimentara
55838,Baciu,ChimicaFarmaceutica
137764,Halmeu,Alimentara
64041,Bradut,Lemnului
121386,Bira,Mobila
145961,Valea Viilor,ConstructiiMasini
154166,Sfintesti,Alimentara
105026,Sinesti,Textila
88644,Bretea Romana,Metalurgica
14922,Bughea De Jos,Lemnului
145998,Vurpar,Alimentara
162381,Bacesti,Lemnului
14940,Buzoesti,Alimentara
129629,Urzica,Alimentara
146012,Alma,Alimentara
64096,Bretcu,Textila
31333,Simian,Alimentara
146021,Boita,Alimentara
6761,Rosia Montana,Alimentara
55918,Baisoara,Lemnului
137844,Hodod,Alimentara
154228,Silistea,Lemnului
170612,Lalosu,Lemnului
129656,Valea Mare,Mobila
80506,Hurezani,Alimentara
121466,Bargauani,Lemnului
64130,Catalina,Alimentara
178821,Vulturu,Alimentara
47774,Movila Banului,Alimentara
96940,Dumesti,Lemnului
80560,Ionesti,Alimentara
105142,Slobozia Moara,Alimentara
162498,Berezeni,Textila
64194,Cernat,Alimentara
105160,Snagov,Energetica
56014,Belis,Lemnului
88788,Buces,ConstructiiMasini
178901,Popesti,Alimentara
15064,Caldararu,Alimentara
72409,Ghercesti,ConstructiiMasini
178910,Paulesti,Lemnului
129763,Valeni,Alimentara
137960,Lazuri,Lemnului
47854,Naeni,Alimentara
64238,Chichis,Alimentara
97009,Erbiceni,Lemnului
178929,Biliesti,Textila
178938,Gologanu,Alimentara
23289,Livezi,Lemnului
15108,Calinesti,ConstructiiMasini
121607,Bodesti,Lemnului
72463,Gighera,Lemnului
154380,Smardioasa,Lemnului
178956,Rastoaca,Textila
6930,Rosia De Secas,Lemnului
31510,Suncuius,Textila
178965,Spulber,Lemnului
56096,Bobalna,Alimentara
80677,Lelesti,Lemnului
88868,Bucuresci,Alimentara
97063,Focuri,Alimentara
170792,Lapusata,Alimentara
47916,Oras Nehoiu,Mobila
154415,Stejaru,Lemnului
121652,Borca,Lemnului
138039,Oras Livada,Lemnului
23350,Luizi-Calugara,Mobila
39738,Vladeni,Alimentara
72506,Giubega,Lemnului
64318,Ghelinta,Lemnului
6976,Salciua,Lemnului
97090,Golaiesti,Lemnului
31565,Tarcea,Lemnului
113493,Salcia,Lemnului
146263,Municipiul Suceava,Lemnului
64345,Ghidfalau,Alimentara
23387,Magiresti,Alimentara
138084,Mediesu Aurit,Mobila
129898,Visina,Alimentara
146281,Ipotesti,Mobila
39792,Vlasinesti,Alimentara
31609,Tarcaia,Lemnului
129914,Vitomiresti,Alimentara
15233,Cateasca,ChimicaFarmaceutica
154497,Storobaneasa,Alimentara
7044,Salistea,Mobila
121732,Borlesti,Alimentara
56210,Bontida,ChimicaFarmaceutica
146325,Mitocu Dragomirnei,Textila
23449,Manastirea Casin,Lemnului
39836,Vorniceni,Alimentara
97189,Gorban,Alimentara
31654,Tauteu,Textila
105384,Soldanu,Lemnului
64425,Ilieni,Lemnului
138164,Micula,Alimentara
7099,Sasciori,Alimentara
179132,Municipiul Bucuresti,Energetica
39872,Vorona,Mobila
146370,Oras Salcea,ConstructiiMasini
72640,Goicea,Alimentara
121796,Botesti,Mobila
23494,Motoseni,Alimentara
113607,Svinita,Alimentara
105419,Stefanestii De Jos,Alimentara
170952,Lungesti,Alimentara
64461,Lemnia,Alimentara
80846,Matasari,ConstructiiMasini
154585,Tatarastii De Jos,Alimentara
138208,Moftin,Lemnului
31716,Tileagd,Mobila
64504,Malnas,Alimentara
146432,Scheia,ConstructiiMasini
39942,Lozna,Mobila
48138,Padina,Alimentara
80908,Musetesti,Lemnului
171021,Malaia,Lemnului
121876,Bozieni,Textila
179221,Oras Bragadiru,Alimentara
39967,Candesti,Alimentara
97321,Gropnita,Alimentara
15402,Cetateni,Alimentara
138280,Odoreu,Alimentara
31789,Tinca,Lemnului
179249,Chiajna,Alimentara
171067,Mateesti,Lemnului
89151,Cerbal,Alimentara
105534,Tartasesti,Lemnului
146502,Municipiul Campulung Moldovenesc,Alimentara
113732,Tamna,Alimentara
130124,Vulpeni,Alimentara
121938,Brusturi,Alimentara
179285,Oras Chitila,Alimentara
64602,Ojdula,Lemnului
31841,Tulca,Lemnului
48227,Panatau,Lemnului
105570,Tunari,Alimentara
56425,Calarasi,Alimentara
146539,Municipiul Falticeni,Alimentara
179310,Dobroesti,Textila
138351,Orasu Nou,Textila
162924,Bunesti-Averesti,Alimentara
64639,Ozun,Alimentara
105605,Ulmeni,Textila
15493,Ciofrangeni,Lemnului
31878,Tetchea,Lemnului
56461,Calatele,Lemnului
179347,Glina,Alimentara
146584,Oras Gura Humorului,Lemnului
97438,Halaucesti,ChimicaFarmaceutica
23715,Nicolae Balcescu,Alimentara
122025,Ceahlau,Lemnului
31921,Uileacu De Beius,Mobila
7348,Sancel,Alimentara
179383,Jilava,Textila
97465,Helesteni,Textila
113849,Vanatori,Textila
163002,Codaesti,Alimentara
138431,Paulesti,Lemnului
48325,Oras Patarlagele,Lemnului
81095,Pades,Lemnului
146628,Municipiul Radauti,Lemnului
122061,Candesti,Alimentara
64719,Poian,Alimentara
154834,Tiganesti,Mobila
179409,Oras Magurele,ChimicaFarmaceutica
7384,Santimbru,Textila
146655,Oras Siret,Lemnului
72926,Leu,Alimentara
154852,Vedea,ChimicaFarmaceutica
31976,Vadu Crisului,Alimentara
105712,Valea Argovei,Lemnului
23797,Oituz,Alimentara
130295,Calui,Lemnului
56568,Capusu Mare,Alimentara
64773,Reci,Alimentara
179463,Mogosoaia,Mobila
40198,Municipiul Brasov,ConstructiiMasini
138501,Petresti,Textila
113929,Vladaia,Alimentara
171272,Maldaresti,Lemnului
130320,Gradinile,Alimentara
72980,Macesu De Jos,Textila
122132,Costisa,Alimentara
7446,Sohodol,Lemnului
40214,Oras Ghimbav,ConstructiiMasini
146708,Oras Solca,Lemnului
32027,Oras Valea Lui Mihai,Textila
179481,Oras Otopeni,Alimentara
81184,Pestisani,Alimentara
130339,Gura Padinii,Mobila
15652,Cocu,Metalurgica
40241,Municipiul Codlea,ConstructiiMasini
73013,Macesu De Sus,Lemnului
179515,Oras Pantelimon,Alimentara
64826,Sanzieni,Alimentara
146744,Municipiul Vatra Dornei,Alimentara
130366,Sarbii - Magura,Alimentara
171325,Mihaesti,ChimicaFarmaceutica
163137,Costesti,Alimentara
73031,Maglavit,Alimentara
97606,Lespezi,Alimentara
122187,Cracaoani,Lemnului
138574,Piscolt,Alimentara
179533,Oras Popesti Leordeni,ChimicaFarmaceutica
130384,Soparlita,Textila
89428,Dobra,Lemnului
40278,Municipiul Fagaras,Metalurgica
32090,Varciorog,Textila
56666,Caseiu,ChimicaFarmaceutica
179551,Oras Voluntari,Alimentara
48487,Pietroasele,Alimentara
64871,Turia,Lemnului
73068,Malu Mare,Lemnului
146799,Adancata,Alimentara
40303,Oras Predeal,Mobila
81264,Plopsoru,Alimentara
138618,Pomi,Alimentara
15741,Corbeni,Mobila
179588,Copaceni,Lemnului
122249,Damuc,Lemnului
64906,Valea Crisului,Lemnului
163208,Cretesti,Textila
23948,Orbeni,ConstructiiMasini
97679,Letcani,Metalurgica
73102,Melinesti,Textila
105874,Varasti,Lemnului
32153,Tamaseu,Alimentara
179613,Sieu,Mobila
32161,Paleu,ChimicaFarmaceutica
179622,Grosii Tiblesului,Alimentara
138663,Sanislau,Alimentara
23975,Palanca,Alimentara
122285,Dobreni,Lemnului
48557,Parscov,Lemnului
179631,Treznea,Mobila
64942,Valcele,Mobila
146860,Arbore,Alimentara
40367,Oras Rasnov,ChimicaFarmaceutica
32179,Sannicolau Roman,Lemnului
163253,Danesti,Alimentara
179640,Vulcana-Pandele,Textila
32187,Rosiori,Mobila
97722,Lungani,Alimentara
32195,Gepiu,Alimentara
56773,Catina,Mobila
32201,Toboliu,Lemnului
179659,Negrilesti,Lemnului
155083,Beciu,Lemnului
40394,Oras Rupea,Alimentara
105936,Vidra,ConstructiiMasini
15830,Corbi,Alimentara
89561,Oras Geoagiu,Mobila
146904,Baia,Lemnului
179677,Camin,Alimentara
179686,Dumitrita,Lemnului
81380,Polovragi,Lemnului
130534,Municipiul Ploiesti,ConstructiiMasini
155109,Dracea,Alimentara
122347,Doljesti,Textila
138734,Santau,Lemnului
97777,Madarjac,Mobila
146931,Oras Milisauti,Alimentara
65011,Zagon,Lemnului
105972,Vanatorii Mici,Alimentara
155127,Frasinet,ConstructiiMasini
40438,Municipiul Sacele,Textila
130552,Barcanesti,Alimentara
179711,Vladeni,Mobila
81415,Prigoria,Alimentara
179720,Poiana Ilvei,Lemnului
56844,Ceanu Mare,Mobila
40465,Oras Victoria,ChimicaFarmaceutica
171539,Muereasca,Alimentara
97811,Mircesti,Lemnului
65048,Zabala,Lemnului
24089,Parincea,Alimentara
122392,Dragomiresti,Lemnului
15901,Cosesti,Lemnului
73246,Mischii,Lemnului
48682,Podgoria,Textila
40492,Oras Zarnesti,Lemnului
179757,Herasti,Alimentara
146995,Balcauti,Lemnului
163379,Delesti,Lemnului
130614,Berceni,ChimicaFarmaceutica
179775,Sabareni,Lemnului
40526,Apata,Alimentara
89687,Gurasada,Mobila
7767,Stremt,ChimicaFarmaceutica
65113,Arcus,Lemnului
122463,Dulcesti,Alimentara
147036,Bilca,Lemnului
40544,Beclean,Alimentara
65121,Bixad,Alimentara
48744,Oras Pogoanele,ConstructiiMasini
155243,Municipiul Timisoara,ConstructiiMasini
147054,Bogdanesti,Lemnului
15983,Cotmeana,Alimentara
130678,Blejoi,Lemnului
24187,Pancesti,Alimentara
65147,Dalnic,Alimentara
97919,Miroslava,ConstructiiMasini
179837,Coas,Lemnului
155261,Dumbravita,Mobila
7810,Sibot,Alimentara
65154,Estelnic,Textila
147072,Boroaia,Lemnului
48771,Posta Calnau,Alimentara
179846,Coltau,Alimentara
32394,Municipiul Bistrita,ConstructiiMasini
114319,Municipiul Targu Mures,Energetica
130712,Brazi,ConstructiiMasini
73371,Murgasi,Alimentara
179864,Oncesti,Lemnului
155289,Ghiroda,ConstructiiMasini
56988,Chinteni,Mobila
40606,Bod,Alimentara
179873,Agris,Lemnului
179882,Ciumesti,Lemnului
81576,Runcu,Textila
138921,Supur,Energetica
155314,Giroc,Textila
179891,Raciu,Lemnului
114355,Cristesti,Alimentara
122551,Farcasa,Lemnului
7865,Sona,ChimicaFarmaceutica
40633,Bran,Lemnului
147134,Bosanci,Textila
179908,Pietrari,Alimentara
89801,Harau,Lemnului
48842,Puiesti,Alimentara
114382,Sancraiu De Mures,ChimicaFarmaceutica
24276,Pargaresti,Lemnului
155350,Municipiul Lugoj,Textila
179935,Persinari,Alimentara
130785,Bucov,Alimentara
32483,Oras Beclean,Metalurgica
40688,Budila,Mobila
114417,Sangeorgiu De Mures,ConstructiiMasini
179953,Ciceu- Mihaiesti,Lemnului
179962,Galbinasi,Alimentara
57083,Chiuiesti,Alimentara
40704,Bunesti,Alimentara
89856,Ilia,Lemnului
179971,Colelia,Energetica
98051,Miroslovesti,Alimentara
139009,Tarna Mare,Alimentara
147205,Breaza,Lemnului
7945,Spring,Alimentara
155403,Oras Buzias,Metalurgica
179980,Marculesti,Lemnului
24338,Parjol,Lemnului
114453,Santana De Mures,Alimentara
73503,Orodel,Alimentara
130847,Paulesti,Textila
32544,Oras Nasaud,Textila
163618,Dranceni,Alimentara
180000,Platonesti,Metalurgica
147241,Brodina,Lemnului
122668,Gheraesti,Mobila
65342,Municipiul Targoviste,Metalurgica
180028,Porumbesti,Alimentara
155458,Oras Deta,Metalurgica
48968,Ramnicelu,Lemnului
57163,Ciucea,Lemnului
180046,Gura Ialomitei,Lemnului
130892,Targsoru Vechi,Lemnului
8014,Sugag,Lemnului
106318,Municipiul Baia Mare,Mobila
122702,Girov,Alimentara
114514,Municipiul Sighisoara,Alimentara
180055,Crivat,Alimentara
32599,Oras Sangeorz-Bai,Lemnului
73567,Ostroveni,Alimentara
139107,Tiream,Energetica
65379,Aninoasa,Alimentara
89954,Lapugiu De Jos,Lemnului
163681,Duda-Epureni,Textila
155494,Oras Jimbolia,ConstructiiMasini
171879,Orlesti,Alimentara
24427,Plopana,Lemnului
40820,Cincu,Lemnului
32633,Bistrita Bargaului,Lemnului
180091,Racsa,Alimentara
106363,Grosi,Textila
49019,Robeasca,Alimentara
65413,Doicesti,ChimicaFarmaceutica
57225,Ciurila,ChimicaFarmaceutica
155528,Oras Sannicolau Mare,ConstructiiMasini
130954,Oras Azuga,Lemnului
32660,Branistea,Alimentara
49046,Rusetu,Alimentara
65431,Razvad,Lemnului
40857,Comana,Lemnului
81816,Saulesti,Alimentara
171931,Otesani,Lemnului
73629,Pielesti,Textila
147358,Oras Brosteni,Lemnului
8096,Oras Teius,Lemnului
139170,Turt,Mobila
130981,Oras Baicoi,Alimentara
106407,Recea,Alimentara
114603,Albesti,Textila
98220,Motca,Lemnului
49073,Sageata,Alimentara
32704,Budacu De Jos,Alimentara
40900,Cristian,ConstructiiMasini
81861,Scoarta,Lemnului
65477,Sotanga,Alimentara
16329,Dambovicioara,Lemnului
24524,Podu Turcului,Alimentara
139214,Turulung,Alimentara
122828,Garcina,ConstructiiMasini
163789,Epureni,Alimentara
171995,Pausesti,Lemnului
106461,Oras Tautii-Magheraus,ConstructiiMasini
65501,Ulmi,Lemnului
8158,Unirea,Alimentara
40928,Dumbravita,Alimentara
57314,Catcau,Alimentara
73709,Plenita,Alimentara
16365,Darmanesti,ConstructiiMasini
139250,Urziceni,Lemnului
122864,Grinties,Lemnului
163832,Falciu,ChimicaFarmaceutica
40955,Feldioara,CalculatoareElectronica
131069,Oras Boldesti-Scaeni,Alimentara
98300,Oteleni,Alimentara
