Siruta,Localitate,Activitate
33603,Lunca Ilvei,Lemnului
148293,Dornesti,Alimentara
74581,Valea Stanciului,Alimentara
33621,Maieru,Lemnului
107350,Bocicoiu Mare,Alimentara
41818,Sercaia,Alimentara
58204,Izvoru Crisului,Mobila
99165,Stolniceni-Prajescu,Mobila
172894,Salatrucel,Alimentara
131933,Albesti-Paleologu,Alimentara
17254,Mihaesti,Textila
50022,Valea Ramnicului,Mobila
140146,Balan,Lemnului
90994,Romos,ChimicaFarmaceutica
156534,Criciova,Lemnului
115575,Bagaciu,Textila
74616,Vela,Alimentara
33658,Matei,Mobila
41854,Sinca,ChimicaFarmaceutica
66438,Buciumeni,Metalurgica
99209,Strunga,Lemnului
107403,Bogdan Voda,Alimentara
82831,Vladimir,Alimentara
123790,Poiana Teiului,Lemnului
164749,Lunca Banului,Lemnului
25488,Solont,Lemnului
58259,Jucu,Mobila
50068,Valea Salciei,Textila
131988,Alunis,Mobila
107430,Boiu Mare,Lemnului
66474,Bucsani,Alimentara
91054,Sarmizegetusa,Alimentara
25521,Stanisesti,Alimentara
115637,Balauseri,Alimentara
17334,Mioarele,Lemnului
50102,Vernesti,Alimentara
172992,Sinesti,Alimentara
41925,Sanpetru,ConstructiiMasini
58311,Luna,Alimentara
148426,Dumbraveni,Alimentara
156623,Darova,Textila
82895,Oras Rovinari,ConstructiiMasini
107485,Botiza,Alimentara
66526,Candesti,Alimentara
33765,Mariselu,Lemnului
148453,Fantanele,Alimentara
132075,Aricestii Rahtivani,ConstructiiMasini
91116,Salasu De Sus,ConstructiiMasini
58357,Maguri-Racatau,Lemnului
1017,Municipiul Alba Iulia,Alimentara
140280,Bobota,Mobila
115708,Beica De Jos,Lemnului
107519,Budesti,ConstructiiMasini
123914,Raucesti,Textila
17423,Moraresti,Lemnului
42003,Tarlungeni,Alimentara
66580,Cobia,Alimentara
58393,Manastireni,Textila
107546,Calinesti,Lemnului
148514,Forasti,Alimentara
140324,Bocsa,Mobila
156712,Dudestii Vechi,Lemnului
99370,Sipote,Alimentara
9262,Municipiul Arad,ConstructiiMasini
1071,Ciugud,Alimentara
50228,Vintila Voda,Alimentara
33845,Micestii De Campie,Alimentara
107582,Cernesti,Alimentara
9280,Fantanele,Mobila
123969,Razboieni,Lemnului
42058,Teliu,Textila
164936,Muntenii De Jos,Alimentara
173132,Stanesti,ChimicaFarmaceutica
17496,Mosoaia,Mobila
33881,Milas,Alimentara
140379,Buciumi,Alimentara
74842,Catane,Lemnului
25692,Tamasi,Mobila
42076,Ticusu,Lemnului
156767,Dumbrava,Energetica
58464,Margau,Lemnului
91232,Santamaria-Orlea,ConstructiiMasini
74859,Carcea,Alimentara
115824,Bogata,Alimentara
74867,Carna,Alimentara
9333,Livada,Textila
42101,Ucea,Alimentara
164981,Oras Murgeni,Alimentara
124028,Rediu,Lemnului
1151,Oras Abrud,Textila
74883,Dobrotesti,Textila
156801,Oras Faget,Textila
