Siruta,Localitate,Cifra de afaceri
82555,Turburea,118302.0
123521,Pipirig,881763.0
148097,Dolhesti,1851872.0
25228,Saucesti,938033.0
107154,Baiut,342426.0
41621,Poiana Marului,133648950.0
156311,Cheveresu Mare,2401438.0
66198,Baleni,12870207.0
58008,Iara,987647.0
172698,Rosiile,0.0
17049,Malureni,5872949.0
33435,Lechinta,8072352.0
148131,Dorna-Arini,24454310.0
139937,Agrij,0.0
74411,Teslui,0.0
66223,Barbuletu,0.0
90805,Ribita,0.0
98998,Scobinti,1222238.0
107190,Basesti,0.0
82617,Oras Turceni,0.0
49849,Tintesti,2409222.0
115389,Band,2628221.0
164543,Ivesti,124576.0
41667,Prejmer,140155294.0
156357,Oras Ciacova,270812.0
25291,Scorteni,1291528.0
139982,Almasu,0.0
17101,Merisani,1407357.0
123601,Pangarati,27587354.0
107234,Bicaz,0.0
41701,Racos,428910.0
49894,Ulmeni,219213.0
148202,Dorna Candrenilor,196154987.0
33514,Lesu,557832.0
131817,Oras Valenii De Munte,339515772.0
99058,Sinesti,0.0
164598,Laza,0.0
82680,Tantareni,19245.0
131835,Gura Vitioarei,286893.0
90878,Rau De Mori,56992.0
33541,Livezile,16406447.0
107270,Bistra,4605514.0
41738,Recea,28485.0
74509,Tuglui,100806.0
172812,Runcu,145915.0
25362,Secuieni,0.0
156437,Comlosu Mare,153909.0
66330,Bezdead,2039936.0
123674,Podoleni,215502.0
99101,Siretel,931985.0
58142,Iclod,5144253.0
49956,Vadu Pasii,697847.0
74536,Unirea,0.0
82733,Urdari,431248.0
107314,Barsana,2483664.0
140084,Babeni,0.0
17209,Micesti,138737120.0
131899,Adunati,31924.0
9019,Cut,138834.0
74554,Urzicuta,0.0
156473,Costeiu,1036714.0
123709,Poienari,0.0
115520,Batos,872965.0
9026,Bucerdea Granoasa,1263165.0
33603,Lunca Ilvei,143379366.0
148293,Dornesti,694888.0
164687,Lipovat,0.0
74581,Valea Stanciului,534065.0
33621,Maieru,14107675.0
107350,Bocicoiu Mare,3484790.0
41818,Sercaia,6570627.0
82779,Vagiulesti,0.0
58204,Izvoru Crisului,32565.0
99165,Stolniceni-Prajescu,296248.0
172894,Salatrucel,1279.0
131933,Albesti-Paleologu,9913721.0
66401,Bilciuresti,0.0
17254,Mihaesti,5497978.0
50022,Valea Ramnicului,4393257.0
148328,Dragoiesti,0.0
140146,Balan,37823.0
90994,Romos,1206478.0
156534,Criciova,2646875.0
115575,Bagaciu,128102.0
74616,Vela,329953.0
33658,Matei,22387.0
41854,Sinca,3242055.0
66438,Buciumeni,178936.0
99209,Strunga,336845.0
107403,Bogdan Voda,158101.0
82831,Vladimir,2331285.0
123790,Poiana Teiului,17195200.0
164749,Lunca Banului,372734.0
25488,Solont,26500.0
115600,Bala,0.0
172947,Scundu,0.0
58259,Jucu,263035481.0
50068,Valea Salciei,1439248.0
131988,Alunis,31699.0
148382,Draguseni,0.0
107430,Boiu Mare,19875671.0
132011,Apostolache,0.0
66474,Bucsani,600868.0
91054,Sarmizegetusa,263756.0
156589,Curtea,0.0
25521,Stanisesti,26688.0
140208,Banisor,0.0
115637,Balauseri,33697984.0
17334,Mioarele,77945.0
50102,Vernesti,17949133.0
33729,Magura Ilvei,0.0
172992,Sinesti,17708.0
41925,Sanpetru,298892931.0
58311,Luna,399817.0
148426,Dumbraveni,14702161.0
156623,Darova,8845487.0
82895,Oras Rovinari,5953559.0
74705,Verbita,0.0
140244,Benesat,0.0
41943,Soars,0.0
99290,Scheia,0.0
107485,Botiza,283057.0
66526,Candesti,20039.0
164829,Malusteni,0.0
33765,Mariselu,301484.0
148453,Fantanele,18696.0
132075,Aricestii Rahtivani,274688273.0
74732,Vartop,0.0
91116,Salasu De Sus,1429245.0
58357,Maguri-Racatau,7293.0
17398,Mirosi,0.0
