Siruta,Localitate,CF/Loc
147241,Brodina,13322.82203815261
146432,Scheia,13162.547910202591
61372,Cogealac,13011.166666666666
106318,Municipiul Baia Mare,12970.081130786966
155458,Oras Deta,12871.34493588066
63740,Municipiul Targu Secuiesc,12852.15605739362
100969,Balotesti,12789.411857229281
54975,Municipiul Cluj-Napoca,12789.221331030456
9690,Oras Sebis,12700.903801396431
120860,Municipiul Roman,12529.247416851598
143502,Poplaca,12455.044077134986
89801,Harau,12389.952335557675
1936,Oras Zlatna,12299.706546275394
32544,Oras Nasaud,12091.367810249894
20821,Oras Comanesti,12031.805478199427
13392,Oras Stefanesti,12027.691626197664
179285,Oras Chitila,11946.145432772271
150418,Sucevita,11883.332177749764
65477,Sotanga,11865.773679101372
92569,Municipiul Calarasi,11799.491348813275
179463,Mogosoaia,11781.750256410256
151816,Nanov,11781.417785234898
14851,Budeasa,11747.047965116279
26564,Municipiul Oradea,11690.710845860443
131407,Oras Mizil,11685.581353055286
130678,Blejoi,11672.198592827961
55008,Municipiul Dej,11604.08038783153
130785,Bucov,11584.123385300669
12126,Socodor,11541.102327624067
30274,Osorhei,11540.157539274704
120478,Chibed,11413.133258046302
93628,Gheorghe Lazar,11405.813390928726
174860,Municipiul Adjud,11376.784980775783
140823,Criseni,11225.23648869964
20313,Hemeius,11204.868287373005
83151,Bradesti,11162.933267424616
20563,Municipiul Onesti,10920.904690438649
50790,Municipiul Resita,10905.507036213648
35731,Municipiul Botosani,10861.498403208285
175019,Oras Odobesti,10846.909938853767
143619,Municipiul Medias,10805.16561161636
136483,Municipiul Satu Mare,10803.835868146214
102106,Comana,10776.459248341931
167981,Municipiul Dragasani,10752.634375297817
63394,Municipiul Sfantu Gheorghe,10611.949430265056
134050,Magureni,10611.77853598015
106559,Municipiul Sighetu Marmatiei,10504.357888775627
13169,Municipiul Pitesti,10503.524255810138
114854,Oras Sovata,10435.079378611348
25825,Targu Trotus,10334.222747156606
15901,Cosesti,10233.019117925422
61210,Chirnogeni,10214.225095503967
34360,Romuli,10175.249165739711
20411,Magura,10150.798824681684
63152,Lumina,10110.259824710207
43331,Oras Ianca,10101.657949319146
65379,Aninoasa,9972.918853646755
102570,Domnesti,9952.147100424329
97679,Letcani,9800.88501106915
93888,Oras Lehliu Gara,9761.713455520787
142881,Sarmasag,9710.320282028202
48227,Panatau,9695.306164666943
60507,Oras Navodari,9622.007411316048
133214,Filipestii De Targ,9587.812222355626
55357,Municipiul Campia Turzii,9522.645773006569
150445,Saru Dornei,9506.601886792452
139811,Oras Jibou,9465.266571930119
117550,Ibanesti,9435.806857942618
128436,Priseaca,9423.164086687306
138084,Mediesu Aurit,9285.820838813386
86810,Municipiul Hunedoara,9257.19294820878
42003,Tarlungeni,9144.92868667312
146744,Municipiul Vatra Dornei,9135.35790759921
40492,Oras Zarnesti,9086.648618203664
128711,Oras Scornicesti,9058.869925434963
9333,Livada,8969.663212435233
125374,Slatioara,8918.656802301684
120487,Corunca,8864.746214614877
107715,Campulung La Tisa,8840.31593625498
